finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
750712184;750100042;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);68.96;43.3;MCO_48H
750712184;750100075;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);72.11;59.9;MCO_48H
750712184;750100083;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);;;MCO_48H
750712184;750100091;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);70.83;50.3;MCO_48H
750712184;750100109;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);70.1;60.4;MCO_48H
750712184;750100125;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);72.61;61.0;MCO_48H
750712184;750100166;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);73.37;66.0;MCO_48H
750712184;750100208;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);72.75;71.1;MCO_48H
750712184;750100232;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);69.74;45.5;MCO_48H
750712184;750100273;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);71.39;52.4;MCO_48H
750712184;750100299;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);;;MCO_48H
750150013;750150013;Ile de France;HOPITAL PIERRE ROUQUES LES BLUETS;71.4;60.8;MCO_48H
750150104;750150104;Ile de France;INSTITUT MUTUALISTE MONTSOURIS;75.35;72.9;MCO_48H
750150146;750150146;Ile de France;HOPITAL LEOPOLD BELLAN;;;MCO_48H
750006728;750150237;Ile de France;GROUPE HOSPITALIER DIACONESSES-CROIX SAINT-SIMON;76.73;78.6;MCO_48H
750150252;750150252;Ile de France;CLINIQUE MEDICALE ET PEDAGOGIQUE EDOUARD RIST;;;MCO_48H
750006728;750150260;Ile de France;GROUPE HOSPITALIER DIACONESSES-CROIX SAINT-SIMON;73.06;67.9;MCO_48H
750160012;750160012;Ile de France;SECTION MEDICALE ET HOSPITALIERE DE L'INSTITUT CURIE;77.57;78.5;MCO_48H
750300014;750300014;Ile de France;CLINIQUE MEDICO-CHIRURGICALE DU LOUVRE;;;MCO_48H
750300071;750300071;Ile de France;CLINIQUE GEOFFROY SAINT-HILAIRE;75.29;52.3;MCO_48H
750300089;750300089;Ile de France;CLINIQUE PARIS V;78.29;70.2;MCO_48H
750300097;750300097;Ile de France;INSTITUT ARTHUR VERNES;;;MCO_48H
750300121;750300121;Ile de France;FONDATION SAINT JEAN DE DIEU - CLINIQUE OUDINOT;80.03;76.7;MCO_48H
750300139;750300139;Ile de France;CLINIQUE DE L'ALMA;71.69;44.1;MCO_48H
750300154;750300154;Ile de France;MAISON DE CHIRURGIE CLINIQUE TURIN;74.29;56.1;MCO_48H
750300360;750300360;Ile de France;HOPITAL PRIVE DES PEUPLIERS;67.04;39.5;MCO_48H
750300410;750300410;Ile de France;CLINIQUE JEANNE D'ARC;;;MCO_48H
